SUM of TEUs,,Type,,,,
Month of Date,Port,Export_Empty,Export_Loaded,Import_Empty,Import_Loaded,Total_TEU
,Port of NY & NJ,"233,904.00","118,762.00","3,307.00","382,912.00","738,885.00"
,"Port of Virginia, VA","64,844.00","89,032.00",778.00,"125,214.00","279,868.00"
,"Savannah, GA","111,707.00","113,357.00","5,158.00","234,583.00","464,805.00"
November 2020 Total,,"1,090,751.25","888,965.50","62,873.70","2,001,248.70","4,043,839.15"
December 2020,"Charleston, SC","43,990.00","67,239.00","4,810.00","93,568.00","209,607.00"
,"Houston, TX","26,619.00","106,908.00","14,323.00","128,593.00","276,443.00"
,"Long Beach, CA","263,852.00","132,374.00","13,588.00","406,072.00","815,886.00"
,"Los Angeles, CA","296,265.75","120,265.00","1,790.30","460,865.00","879,186.05"
,"NWSA (Seattle & Tacoma, WA)","52,842.00","63,849.00","7,434.00","122,469.00","246,594.00"
,"Oakland, CA","27,718.00","75,330.00","15,074.00","90,218.00","208,340.00"
,Port of NY & NJ,"243,938.00","103,891.00","2,921.00","358,325.00","709,075.00"
,"Port of Virginia, VA","53,175.00","82,670.00","1,338.00","123,218.00","260,401.00"
,"Savannah, GA","111,791.00","105,796.00","5,283.00","224,650.00","447,520.00"
December 2020 Total,,"1,120,190.75","858,322.00","66,561.30","2,007,978.00","4,053,052.05"
January 2021,"Charleston, SC","48,224.00","67,937.00","4,626.00","95,478.00","216,265.00"
,"Houston, TX","23,503.00","99,694.00","10,264.00","121,578.00","255,039.00"
,"Long Beach, CA","270,221.00","116,254.00","13,277.00","364,255.00","764,007.00"
,"Los Angeles, CA","278,326.25","119,326.75",254.00,"437,609.20","835,516.20"
,"NWSA (Seattle & Tacoma, WA)","60,251.00","58,189.00","6,662.00","114,083.00","239,185.00"
,"Oakland, CA","36,428.00","69,147.00","16,120.00","77,403.00","199,098.00"
,Port of NY & NJ,"239,509.00","108,738.00","1,645.00","371,392.00","721,284.00"
